,epochs,gamma,lr,f1-0,f1-1,acc
0,10.0,0.5,0.0001,0.8935888962326504,0.527859237536657,0.8263214670981661
1,10.0,2.0,0.0001,0.9012237762237763,0.5415821501014199,0.8374685364976627
2,10.0,5.0,0.0001,0.8637721111876866,0.5095119933829612,0.786767349874146
3,25.0,0.5,0.0001,0.904977375565611,0.5211726384364821,0.8414239482200647
4,25.0,2.0,0.0001,0.8902991840435176,0.5798611111111112,0.8260244428468727
5,25.0,5.0,0.0001,0.8818469895880489,0.5437062937062936,0.8122977346278317
6,30.0,0.5,0.0001,0.9103623649078194,0.49822064056939513,0.8478964401294499
7,30.0,2.0,0.0001,0.9037785588752196,0.5663366336633663,0.8425026968716289
8,30.0,5.0,0.0001,0.8889382496668147,0.5283018867924528,0.8202085580726357
