,epochs,gamma,lr,f1-0,f1-1,acc
0,10.0,0.5,0.0001,0.9968553459119497,0.9866666666666666,0.9949109414758269
1,10.0,2.0,0.0001,1.0,1.0,1.0
2,10.0,5.0,0.0001,0.9984686064318529,0.9924812030075187,0.9974554707379135
3,25.0,0.5,0.0001,0.9984101748807631,0.9935483870967742,0.9974489795918368
4,25.0,2.0,0.0001,1.0,1.0,1.0
5,25.0,5.0,0.0001,0.996774193548387,0.9878048780487805,0.9948979591836735
6,30.0,0.5,0.0001,0.9983948635634029,0.9938650306748467,0.9974554707379135
7,30.0,2.0,0.0001,1.0,1.0,1.0
8,30.0,5.0,0.0001,0.9984350547730829,0.9931972789115647,0.9974554707379135
