,epochs,gamma,lr,f1-0,f1-1,acc
0,10.0,0.0,0.0001,0.9013472403302911,0.5270833333333333,0.8367493707299533
1,10.0,0.5,0.0001,0.9035836177474403,0.48401826484018273,0.8375269590222861
2,10.0,2.0,0.0001,0.8914107699154429,0.543071161048689,0.8245235526788924
3,10.0,3.0,0.0001,0.9134860050890586,0.5188679245283019,0.8533429187634796
4,25.0,0.0,0.0001,0.9107027027027027,0.5592315901814301,0.8514922689679971
5,25.0,0.5,0.0001,0.9010795329367702,0.5610948191593352,0.8385472851492269
6,25.0,2.0,0.0001,0.9046496678808656,0.5027932960893855,0.8399856166846458
7,25.0,3.0,0.0001,0.9105092091007584,0.5638859556494192,0.8514922689679971
8,35.0,0.0,0.0001,0.878082507490205,0.5674570727718724,0.8097806544408486
9,35.0,0.5,0.0001,0.9153958637977857,0.47741935483870973,0.8543689320388349
10,35.0,2.0,0.0001,0.9068965517241379,0.5314533622559653,0.8446601941747572
